id',Date,Location,Site,Observer,Depth (m),Visibility (m),Replicate,Interval,Genus,Species,Scientific Name,Count,Size Est (cm)
32,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,2,40-70,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,4,7
33,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,2,40-70,Pomacentrus,adelus,Pomacentrus adelus,2,7
34,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,2,40-70,Pomacentrus,adelus,Pomacentrus adelus,2,5
35,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,2,40-70,Pomacentrus,adelus,Pomacentrus adelus,1,6
36,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,2,40-70,Pomacentrus,coelestis,Pomacentrus coelestis,7,3
37,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,2,40-70,Pomacentrus,coelestis,Pomacentrus coelestis,1,2
38,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,2,40-70,Chrysiptera,rex,Chrysiptera rex,5,4
39,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,2,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,5,6
40,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,2,40-70,Thalassoma,lunare,Thalassoma lunare,1,9
41,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,3,0-30,Pomacentrus,adelus,Pomacentrus adelus,2,7
42,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,3,0-30,Pomacentrus,adelus,Pomacentrus adelus,1,6
43,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,3,0-30,Pomacentrus,adelus,Pomacentrus adelus,3,7
44,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,3,0-30,Halichoeres,melanurus,Halichoeres melanurus,1,5
45,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,3,0-30,Acanthochromis,polyacanthus,Acanthochromis polyacanthus,1,10
46,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,3,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,2,5
47,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,3,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,1,7
48,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,3,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,6,6
49,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,3,0-30,Pomacentrus,coelestis,Pomacentrus coelestis,3,3
50,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,3,0-30,Pomacentrus,coelestis,Pomacentrus coelestis,2,2
51,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,1,30-0,Stethojulis,strigiventer,Stethojulis strigiventer,1,13
52,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,1,30-0,Zanclus,cornutus,Zanclus cornutus,1,11
53,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,1,30-0,Pomacentrus,vaiuli,Pomacentrus vaiuli,2,6
54,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,1,30-0,Pomacentrus,vaiuli,Pomacentrus vaiuli,1,7
55,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,1,30-0,Pomacentrus,adelus,Pomacentrus adelus,1,7
56,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,1,30-0,Pomacentrus,adelus,Pomacentrus adelus,1,8
57,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,1,30-0,Pomacentrus,adelus,Pomacentrus adelus,2,7
58,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,1,30-0,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,2,9
59,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,1,30-0,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,2,7
60,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,1,30-0,Stegastes,fasciolatus,Stegastes fasciolatus,2,8
