id,Date,Random,Location,Site,Observer,Depth (m),Visibility (m),Replicate,Interval,Genus,Species,Scientific Name,Count,Size Est (cm)
224,,0,,,,,,,,,,,,
225,,0,,,,,,,,,,,,
226,,1,,,,,,,,,,,,
227,,1,,,,,,,,,,,,
228,,0,,,,,,,,,,,,
229,,0,,,,,,,,,,,,
230,,1,,,,,,,,,,,,
231,,1,,,,,,,,,,,,
232,,0,,,,,,,,,,,,
233,,1,,,,,,,,,,,,
234,,0,,,,,,,,,,,,
235,,1,,,,,,,,,,,,
236,,1,,,,,,,,,,,,
237,,1,,,,,,,,,,,,
238,,0,,,,,,,,,,,,
239,,1,,,,,,,,,,,,
240,,0,,,,,,,,,,,,
241,,1,,,,,,,,,,,,
242,,1,,,,,,,,,,,,
243,,1,,,,,,,,,,,,
244,,0,,,,,,,,,,,,
245,,1,,,,,,,,,,,,
246,,1,,,,,,,,,,,,
247,,1,,,,,,,,,,,,
248,,0,,,,,,,,,,,,
249,,1,,,,,,,,,,,,
250,,0,,,,,,,,,,,,
251,,1,,,,,,,,,,,,
252,,0,,,,,,,,,,,,
253,,0,,,,,,,,,,,,
254,,1,,,,,,,,,,,,
255,,1,,,,,,,,,,,,
256,,1,,,,,,,,,,,,
257,,0,,,,,,,,,,,,
258,,1,,,,,,,,,,,,
259,,0,,,,,,,,,,,,
260,,1,,,,,,,,,,,,
261,,0,,,,,,,,,,,,
262,,0,,,,,,,,,,,,
263,,1,,,,,,,,,,,,
264,,0,,,,,,,,,,,,
265,,1,,,,,,,,,,,,
266,,1,,,,,,,,,,,,
267,,0,,,,,,,,,,,,
268,,0,,,,,,,,,,,,
269,,0,,,,,,,,,,,,
270,,1,,,,,,,,,,,,
271,,0,,,,,,,,,,,,
272,,0,,,,,,,,,,,,
273,,0,,,,,,,,,,,,
274,,1,,,,,,,,,,,,
275,,1,,,,,,,,,,,,
276,,0,,,,,,,,,,,,
277,,1,,,,,,,,,,,,
278,,1,,,,,,,,,,,,
279,,1,,,,,,,,,,,,
280,,0,,,,,,,,,,,,
281,,0,,,,,,,,,,,,
282,,0,,,,,,,,,,,,
283,,0,,,,,,,,,,,,
284,,0,,,,,,,,,,,,
285,,1,,,,,,,,,,,,
286,,0,,,,,,,,,,,,
287,,0,,,,,,,,,,,,
288,,1,,,,,,,,,,,,
289,,1,,,,,,,,,,,,
290,,1,,,,,,,,,,,,
291,,0,,,,,,,,,,,,
292,,0,,,,,,,,,,,,
293,,1,,,,,,,,,,,,
294,,0,,,,,,,,,,,,
295,,1,,,,,,,,,,,,
296,,0,,,,,,,,,,,,
297,,0,,,,,,,,,,,,
298,,0,,,,,,,,,,,,
299,,0,,,,,,,,,,,,
300,,1,,,,,,,,,,,,
301,,1,,,,,,,,,,,,
302,,0,,,,,,,,,,,,
303,,0,,,,,,,,,,,,
304,,1,,,,,,,,,,,,
305,,0,,,,,,,,,,,,
306,,0,,,,,,,,,,,,
307,,1,,,,,,,,,,,,
308,,1,,,,,,,,,,,,
309,,1,,,,,,,,,,,,
310,,1,,,,,,,,,,,,
311,,0,,,,,,,,,,,,
312,,1,,,,,,,,,,,,
313,,0,,,,,,,,,,,,
314,,1,,,,,,,,,,,,
315,,1,,,,,,,,,,,,
316,,1,,,,,,,,,,,,
317,,0,,,,,,,,,,,,
318,,1,,,,,,,,,,,,
319,,1,,,,,,,,,,,,
320,,0,,,,,,,,,,,,
321,,0,,,,,,,,,,,,
322,,1,,,,,,,,,,,,
323,,1,,,,,,,,,,,,
324,,1,,,,,,,,,,,,
325,,1,,,,,,,,,,,,
326,,0,,,,,,,,,,,,
327,,0,,,,,,,,,,,,
328,,1,,,,,,,,,,,,
329,,0,,,,,,,,,,,,
330,,1,,,,,,,,,,,,
331,,1,,,,,,,,,,,,
332,,0,,,,,,,,,,,,
333,,0,,,,,,,,,,,,
334,,0,,,,,,,,,,,,
335,,1,,,,,,,,,,,,
336,,0,,,,,,,,,,,,
337,,0,,,,,,,,,,,,
338,,1,,,,,,,,,,,,
339,,1,,,,,,,,,,,,
340,,0,,,,,,,,,,,,
341,,0,,,,,,,,,,,,
342,,1,,,,,,,,,,,,
343,,0,,,,,,,,,,,,
344,,0,,,,,,,,,,,,
345,,1,,,,,,,,,,,,
346,,1,,,,,,,,,,,,
347,,1,,,,,,,,,,,,
348,,0,,,,,,,,,,,,
349,,1,,,,,,,,,,,,
350,,1,,,,,,,,,,,,
351,,1,,,,,,,,,,,,
352,,1,,,,,,,,,,,,
353,,1,,,,,,,,,,,,
354,,0,,,,,,,,,,,,
355,,0,,,,,,,,,,,,
356,,1,,,,,,,,,,,,
357,,1,,,,,,,,,,,,
358,,0,,,,,,,,,,,,
359,,0,,,,,,,,,,,,
360,,1,,,,,,,,,,,,
361,,0,,,,,,,,,,,,
362,,0,,,,,,,,,,,,
363,,0,,,,,,,,,,,,
364,,0,,,,,,,,,,,,
365,,1,,,,,,,,,,,,
366,,1,,,,,,,,,,,,
367,,1,,,,,,,,,,,,
368,,0,,,,,,,,,,,,
369,,0,,,,,,,,,,,,
370,,0,,,,,,,,,,,,
371,,0,,,,,,,,,,,,
372,,1,,,,,,,,,,,,
373,,0,,,,,,,,,,,,
374,,1,,,,,,,,,,,,
375,,1,,,,,,,,,,,,
376,,1,,,,,,,,,,,,
377,,0,,,,,,,,,,,,
378,,0,,,,,,,,,,,,
379,,0,,,,,,,,,,,,
380,,1,,,,,,,,,,,,
381,,0,,,,,,,,,,,,
382,,0,,,,,,,,,,,,
383,,1,,,,,,,,,,,,
384,,0,,,,,,,,,,,,
385,,1,,,,,,,,,,,,
386,,1,,,,,,,,,,,,
387,,0,,,,,,,,,,,,
388,,0,,,,,,,,,,,,
389,,1,,,,,,,,,,,,
390,,0,,,,,,,,,,,,
391,,0,,,,,,,,,,,,
392,,1,,,,,,,,,,,,
393,,1,,,,,,,,,,,,
394,,0,,,,,,,,,,,,
395,,1,,,,,,,,,,,,
396,,1,,,,,,,,,,,,
397,,0,,,,,,,,,,,,
398,,0,,,,,,,,,,,,
399,,0,,,,,,,,,,,,
400,,0,,,,,,,,,,,,
401,,1,,,,,,,,,,,,
402,,0,,,,,,,,,,,,
403,,1,,,,,,,,,,,,
404,,0,,,,,,,,,,,,
405,,1,,,,,,,,,,,,
406,,1,,,,,,,,,,,,
407,,1,,,,,,,,,,,,
408,,1,,,,,,,,,,,,
409,,0,,,,,,,,,,,,
410,,1,,,,,,,,,,,,
411,,1,,,,,,,,,,,,
412,,1,,,,,,,,,,,,
413,,1,,,,,,,,,,,,
414,,1,,,,,,,,,,,,
415,,0,,,,,,,,,,,,
416,,1,,,,,,,,,,,,
417,,0,,,,,,,,,,,,
418,,0,,,,,,,,,,,,
419,,1,,,,,,,,,,,,
420,,0,,,,,,,,,,,,
421,,0,,,,,,,,,,,,
422,,0,,,,,,,,,,,,
423,,1,,,,,,,,,,,,
424,,0,,,,,,,,,,,,
425,,1,,,,,,,,,,,,
426,,1,,,,,,,,,,,,
427,,1,,,,,,,,,,,,
428,,0,,,,,,,,,,,,
429,,0,,,,,,,,,,,,
430,,0,,,,,,,,,,,,
431,,1,,,,,,,,,,,,
432,,1,,,,,,,,,,,,
433,,0,,,,,,,,,,,,
434,,0,,,,,,,,,,,,
435,,1,,,,,,,,,,,,
436,,1,,,,,,,,,,,,
437,,0,,,,,,,,,,,,
438,,1,,,,,,,,,,,,
439,,1,,,,,,,,,,,,
440,,0,,,,,,,,,,,,
441,,0,,,,,,,,,,,,
442,,0,,,,,,,,,,,,
443,,0,,,,,,,,,,,,
444,,0,,,,,,,,,,,,
445,,0,,,,,,,,,,,,
446,,0,,,,,,,,,,,,
447,,0,,,,,,,,,,,,
448,,1,,,,,,,,,,,,
449,,1,,,,,,,,,,,,
450,,1,,,,,,,,,,,,
451,,1,,,,,,,,,,,,
452,,0,,,,,,,,,,,,
453,,0,,,,,,,,,,,,
454,,0,,,,,,,,,,,,
455,,0,,,,,,,,,,,,
456,,0,,,,,,,,,,,,
457,,1,,,,,,,,,,,,
458,,0,,,,,,,,,,,,
459,,1,,,,,,,,,,,,
460,,1,,,,,,,,,,,,
461,,1,,,,,,,,,,,,
462,,1,,,,,,,,,,,,
463,,0,,,,,,,,,,,,
464,,0,,,,,,,,,,,,
465,,1,,,,,,,,,,,,
466,,0,,,,,,,,,,,,
467,,0,,,,,,,,,,,,
468,,1,,,,,,,,,,,,
469,,0,,,,,,,,,,,,
470,,0,,,,,,,,,,,,
471,,1,,,,,,,,,,,,
472,,0,,,,,,,,,,,,
473,,0,,,,,,,,,,,,
474,,1,,,,,,,,,,,,
475,,0,,,,,,,,,,,,
476,,1,,,,,,,,,,,,
477,,0,,,,,,,,,,,,
478,,0,,,,,,,,,,,,
479,,0,,,,,,,,,,,,
480,,0,,,,,,,,,,,,
481,,0,,,,,,,,,,,,
482,,0,,,,,,,,,,,,
483,,1,,,,,,,,,,,,
484,,1,,,,,,,,,,,,
485,,1,,,,,,,,,,,,
486,,1,,,,,,,,,,,,
487,,0,,,,,,,,,,,,
488,,1,,,,,,,,,,,,
489,,0,,,,,,,,,,,,
490,,1,,,,,,,,,,,,
491,,0,,,,,,,,,,,,
492,,0,,,,,,,,,,,,
493,,0,,,,,,,,,,,,
494,,1,,,,,,,,,,,,
495,,1,,,,,,,,,,,,
496,,1,,,,,,,,,,,,
497,,1,,,,,,,,,,,,
498,,0,,,,,,,,,,,,
499,,0,,,,,,,,,,,,
500,,1,,,,,,,,,,,,
501,,0,,,,,,,,,,,,
502,,1,,,,,,,,,,,,
503,,0,,,,,,,,,,,,
504,,0,,,,,,,,,,,,
505,,0,,,,,,,,,,,,
506,,0,,,,,,,,,,,,
507,,0,,,,,,,,,,,,
508,,0,,,,,,,,,,,,
509,,1,,,,,,,,,,,,
510,,0,,,,,,,,,,,,
511,,0,,,,,,,,,,,,
512,,1,,,,,,,,,,,,
513,,0,,,,,,,,,,,,
514,,1,,,,,,,,,,,,
515,,1,,,,,,,,,,,,
516,,1,,,,,,,,,,,,
517,,0,,,,,,,,,,,,
518,,0,,,,,,,,,,,,
519,,1,,,,,,,,,,,,
520,,0,,,,,,,,,,,,
521,,0,,,,,,,,,,,,
522,,1,,,,,,,,,,,,
523,,1,,,,,,,,,,,,
524,,0,,,,,,,,,,,,
525,,0,,,,,,,,,,,,
526,,0,,,,,,,,,,,,
527,,1,,,,,,,,,,,,
528,,1,,,,,,,,,,,,
529,,0,,,,,,,,,,,,
530,,1,,,,,,,,,,,,
531,,0,,,,,,,,,,,,
532,,0,,,,,,,,,,,,
533,,1,,,,,,,,,,,,
534,,0,,,,,,,,,,,,
535,,1,,,,,,,,,,,,
536,,1,,,,,,,,,,,,
537,,1,,,,,,,,,,,,
538,,1,,,,,,,,,,,,
539,,0,,,,,,,,,,,,
540,,0,,,,,,,,,,,,
541,,0,,,,,,,,,,,,
542,,1,,,,,,,,,,,,
543,,1,,,,,,,,,,,,
544,,0,,,,,,,,,,,,
545,,0,,,,,,,,,,,,
546,,0,,,,,,,,,,,,
547,,0,,,,,,,,,,,,
548,,0,,,,,,,,,,,,
549,,0,,,,,,,,,,,,
550,,1,,,,,,,,,,,,
551,,0,,,,,,,,,,,,
552,,0,,,,,,,,,,,,
